# lgT[K] lgg[cm/s2] mu lgE[keV] lgI[erg/s/cm2/sr/keV]
# MAGNUS, fatia theta_B = 0 graus; lg I = lg(B_E(T_ef)) + lg w
5.69897 14.3800 0.019855 -1.52288 17.92179
5.69897 14.3800 0.019855 -1.50512 17.94632
5.69897 14.3800 0.019855 -1.48736 17.97008
5.69897 14.3800 0.019855 -1.46960 17.99324
5.69897 14.3800 0.019855 -1.45184 18.01651
5.69897 14.3800 0.019855 -1.43408 18.03944
5.69897 14.3800 0.019855 -1.41632 18.06166
5.69897 14.3800 0.019855 -1.39856 18.08336
5.69897 14.3800 0.019855 -1.38080 18.10455
5.69897 14.3800 0.019855 -1.36303 18.12526
5.69897 14.3800 0.019855 -1.34527 18.14564
5.69897 14.3800 0.019855 -1.32751 18.16503
5.69897 14.3800 0.019855 -1.30975 18.18391
5.69897 14.3800 0.019855 -1.29199 18.20216
5.69897 14.3800 0.019855 -1.27423 18.21939
5.69897 14.3800 0.019855 -1.25647 18.23623
5.69897 14.3800 0.019855 -1.23871 18.25179
5.69897 14.3800 0.019855 -1.22095 18.26678
5.69897 14.3800 0.019855 -1.20319 18.28062
5.69897 14.3800 0.019855 -1.18543 18.29313
5.69897 14.3800 0.019855 -1.16767 18.30500
5.69897 14.3800 0.019855 -1.14991 18.31487
5.69897 14.3800 0.019855 -1.13215 18.32406
5.69897 14.3800 0.019855 -1.11439 18.33131
5.69897 14.3800 0.019855 -1.09663 18.33704
5.69897 14.3800 0.019855 -1.07887 18.34163
5.69897 14.3800 0.019855 -1.06111 18.34319
5.69897 14.3800 0.019855 -1.04335 18.34367
5.69897 14.3800 0.019855 -1.02559 18.34102
5.69897 14.3800 0.019855 -1.00783 18.33619
5.69897 14.3800 0.019855 -0.99007 18.32890
5.69897 14.3800 0.019855 -0.97231 18.31753
5.69897 14.3800 0.019855 -0.95454 18.30390
5.69897 14.3800 0.019855 -0.93678 18.28481
5.69897 14.3800 0.019855 -0.91902 18.26194
5.69897 14.3800 0.019855 -0.90126 18.23367
5.69897 14.3800 0.019855 -0.88350 18.19840
5.69897 14.3800 0.019855 -0.86574 18.15661
5.69897 14.3800 0.019855 -0.84798 18.10361
5.69897 14.3800 0.019855 -0.83022 18.03962
5.69897 14.3800 0.019855 -0.81246 17.95898
5.69897 14.3800 0.019855 -0.79470 17.85812
5.69897 14.3800 0.019855 -0.77694 17.72224
5.69897 14.3800 0.019855 -0.75918 17.54379
5.69897 14.3800 0.019855 -0.74142 17.28709
5.69897 14.3800 0.019855 -0.72366 16.95703
5.69897 14.3800 0.019855 -0.70590 16.57888
5.69897 14.3800 0.019855 -0.68814 16.60862
5.69897 14.3800 0.019855 -0.67038 16.81769
5.69897 14.3800 0.019855 -0.65262 17.03898
5.69897 14.3800 0.019855 -0.63486 17.18393
5.69897 14.3800 0.019855 -0.61710 17.27568
5.69897 14.3800 0.019855 -0.59934 17.33665
5.69897 14.3800 0.019855 -0.58158 17.36320
5.69897 14.3800 0.019855 -0.56382 17.37933
5.69897 14.3800 0.019855 -0.54605 17.37258
5.69897 14.3800 0.019855 -0.52829 17.35891
5.69897 14.3800 0.019855 -0.51053 17.33457
5.69897 14.3800 0.019855 -0.49277 17.30217
5.69897 14.3800 0.019855 -0.47501 17.26333
5.69897 14.3800 0.019855 -0.45725 17.21812
5.69897 14.3800 0.019855 -0.43949 17.16719
5.69897 14.3800 0.019855 -0.42173 17.11082
5.69897 14.3800 0.019855 -0.40397 17.05043
5.69897 14.3800 0.019855 -0.38621 16.98168
5.69897 14.3800 0.019855 -0.36845 16.91378
5.69897 14.3800 0.019855 -0.35069 16.83623
5.69897 14.3800 0.019855 -0.33293 16.75695
5.69897 14.3800 0.019855 -0.31517 16.67262
5.69897 14.3800 0.019855 -0.29741 16.57886
5.69897 14.3800 0.019855 -0.27965 16.48955
5.69897 14.3800 0.019855 -0.26189 16.38550
5.69897 14.3800 0.019855 -0.24413 16.28577
5.69897 14.3800 0.019855 -0.22637 16.17667
5.69897 14.3800 0.019855 -0.20861 16.05940
5.69897 14.3800 0.019855 -0.19085 15.94772
5.69897 14.3800 0.019855 -0.17309 15.81530
5.69897 14.3800 0.019855 -0.15533 15.69721
5.69897 14.3800 0.019855 -0.13757 15.56179
5.69897 14.3800 0.019855 -0.11980 15.42336
5.69897 14.3800 0.019855 -0.10204 15.28879
5.69897 14.3800 0.019855 -0.08428 15.12797
5.69897 14.3800 0.019855 -0.06652 14.99660
5.69897 14.3800 0.019855 -0.04876 14.83753
5.69897 14.3800 0.019855 -0.03100 14.68690
5.69897 14.3800 0.019855 -0.01324 14.53634
5.69897 14.3800 0.019855 0.00452 14.36415
5.69897 14.3800 0.019855 0.02228 14.23139
5.69897 14.3800 0.019855 0.04004 14.07007
5.69897 14.3800 0.019855 0.05780 13.93266
5.69897 14.3800 0.019855 0.07556 13.79319
5.69897 14.3800 0.019855 0.09332 13.65042
5.69897 14.3800 0.019855 0.11108 13.53575
5.69897 14.3800 0.019855 0.12884 13.40481
5.69897 14.3800 0.019855 0.14660 13.29620
5.69897 14.3800 0.019855 0.16436 13.18114
5.69897 14.3800 0.019855 0.18212 13.06551
5.69897 14.3800 0.019855 0.19988 12.95980
5.69897 14.3800 0.019855 0.21764 12.83793
5.69897 14.3800 0.019855 0.23540 12.73014
5.69897 14.3800 0.019855 0.25316 12.60815
5.69897 14.3800 0.019855 0.27092 12.48284
5.69897 14.3800 0.019855 0.28869 12.35973
5.69897 14.3800 0.019855 0.30645 12.21292
5.69897 14.3800 0.019855 0.32421 12.08734
5.69897 14.3800 0.019855 0.34197 11.93554
5.69897 14.3800 0.019855 0.35973 11.78561
5.69897 14.3800 0.019855 0.37749 11.63167
5.69897 14.3800 0.019855 0.39525 11.44756
5.69897 14.3800 0.019855 0.41301 11.29734
5.69897 14.3800 0.019855 0.43077 11.10425
5.69897 14.3800 0.019855 0.44853 10.92713
5.69897 14.3800 0.019855 0.46629 10.73352
5.69897 14.3800 0.019855 0.48405 10.51242
5.69897 14.3800 0.019855 0.50181 10.32755
5.69897 14.3800 0.019855 0.51957 10.08315
5.69897 14.3800 0.019855 0.53733 9.87972
5.69897 14.3800 0.019855 0.55509 9.63658
5.69897 14.3800 0.019855 0.57285 9.37844
5.69897 14.3800 0.019855 0.59061 9.14961
5.69897 14.3800 0.019855 0.60837 8.84169
5.69897 14.3800 0.019855 0.62613 8.61415
5.69897 14.3800 0.019855 0.64389 8.30854
5.69897 14.3800 0.019855 0.66165 8.01536
5.69897 14.3800 0.019855 0.67941 6.56185
5.69897 14.3800 0.019855 0.69718 4.60402
5.69897 14.3800 0.019855 0.71494 2.56225
5.69897 14.3800 0.019855 0.73270 0.43301
5.69897 14.3800 0.019855 0.75046 -1.78732
5.69897 14.3800 0.019855 0.76822 -4.10257
5.69897 14.3800 0.019855 0.78598 -6.51668
5.69897 14.3800 0.019855 0.80374 -9.03378
5.69897 14.3800 0.019855 0.82150 -11.65819
5.69897 14.3800 0.019855 0.83926 -14.39436
5.69897 14.3800 0.019855 0.85702 -17.24698
5.69897 14.3800 0.019855 0.87478 -20.22089
5.69897 14.3800 0.019855 0.89254 -23.32117
5.69897 14.3800 0.019855 0.91030 -26.55309
5.69897 14.3800 0.019855 0.92806 -29.92213
5.69897 14.3800 0.019855 0.94582 -33.43404
5.69897 14.3800 0.019855 0.96358 -37.09476
5.69897 14.3800 0.019855 0.98134 -40.91051
5.69897 14.3800 0.019855 0.99910 -44.88778
5.69897 14.3800 0.019855 1.01686 -49.03329
5.69897 14.3800 0.019855 1.03462 -53.35406
5.69897 14.3800 0.019855 1.05238 -57.85741
5.69897 14.3800 0.019855 1.07014 -62.55100
5.69897 14.3800 0.019855 1.08790 -67.44270
5.69897 14.3800 0.019855 1.10567 -72.54082
5.69897 14.3800 0.019855 1.12343 -77.85400
5.69897 14.3800 0.019855 1.14119 -83.39116
5.69897 14.3800 0.019855 1.15895 -89.16168
5.69897 14.3800 0.019855 1.17671 -95.17530
5.69897 14.3800 0.019855 1.19447 -101.44221
5.69897 14.3800 0.019855 1.21223 -107.97290
5.69897 14.3800 0.019855 1.22999 -114.77842
5.69897 14.3800 0.019855 1.24775 -121.87029
5.69897 14.3800 0.019855 1.26551 -129.26037
5.69897 14.3800 0.019855 1.28327 -136.96116
5.69897 14.3800 0.019855 1.30103 -144.98567
5.69897 14.3800 0.101667 -1.52288 18.05693
5.69897 14.3800 0.101667 -1.50512 18.08242
5.69897 14.3800 0.101667 -1.48736 18.10677
5.69897 14.3800 0.101667 -1.46960 18.13024
5.69897 14.3800 0.101667 -1.45184 18.15333
5.69897 14.3800 0.101667 -1.43408 18.17622
5.69897 14.3800 0.101667 -1.41632 18.19921
5.69897 14.3800 0.101667 -1.39856 18.22147
5.69897 14.3800 0.101667 -1.38080 18.24304
5.69897 14.3800 0.101667 -1.36303 18.26455
5.69897 14.3800 0.101667 -1.34527 18.28575
5.69897 14.3800 0.101667 -1.32751 18.30550
5.69897 14.3800 0.101667 -1.30975 18.32537
5.69897 14.3800 0.101667 -1.29199 18.34546
5.69897 14.3800 0.101667 -1.27423 18.36368
5.69897 14.3800 0.101667 -1.25647 18.38119
5.69897 14.3800 0.101667 -1.23871 18.39820
5.69897 14.3800 0.101667 -1.22095 18.41481
5.69897 14.3800 0.101667 -1.20319 18.43064
5.69897 14.3800 0.101667 -1.18543 18.44506
5.69897 14.3800 0.101667 -1.16767 18.45879
5.69897 14.3800 0.101667 -1.14991 18.47097
5.69897 14.3800 0.101667 -1.13215 18.48248
5.69897 14.3800 0.101667 -1.11439 18.49204
5.69897 14.3800 0.101667 -1.09663 18.50022
5.69897 14.3800 0.101667 -1.07887 18.50740
5.69897 14.3800 0.101667 -1.06111 18.51216
5.69897 14.3800 0.101667 -1.04335 18.51602
5.69897 14.3800 0.101667 -1.02559 18.51697
5.69897 14.3800 0.101667 -1.00783 18.51599
5.69897 14.3800 0.101667 -0.99007 18.51290
5.69897 14.3800 0.101667 -0.97231 18.50626
5.69897 14.3800 0.101667 -0.95454 18.49785
5.69897 14.3800 0.101667 -0.93678 18.48465
5.69897 14.3800 0.101667 -0.91902 18.46842
5.69897 14.3800 0.101667 -0.90126 18.44782
5.69897 14.3800 0.101667 -0.88350 18.42164
5.69897 14.3800 0.101667 -0.86574 18.39093
5.69897 14.3800 0.101667 -0.84798 18.35147
5.69897 14.3800 0.101667 -0.83022 18.30464
5.69897 14.3800 0.101667 -0.81246 18.24640
5.69897 14.3800 0.101667 -0.79470 18.17304
5.69897 14.3800 0.101667 -0.77694 18.07854
5.69897 14.3800 0.101667 -0.75918 17.94628
5.69897 14.3800 0.101667 -0.74142 17.74375
5.69897 14.3800 0.101667 -0.72366 17.38046
5.69897 14.3800 0.101667 -0.70590 16.73734
5.69897 14.3800 0.101667 -0.68814 16.87785
5.69897 14.3800 0.101667 -0.67038 17.35341
5.69897 14.3800 0.101667 -0.65262 17.57671
5.69897 14.3800 0.101667 -0.63486 17.68089
5.69897 14.3800 0.101667 -0.61710 17.74564
5.69897 14.3800 0.101667 -0.59934 17.78524
5.69897 14.3800 0.101667 -0.58158 17.80466
5.69897 14.3800 0.101667 -0.56382 17.81807
5.69897 14.3800 0.101667 -0.54605 17.81960
5.69897 14.3800 0.101667 -0.52829 17.81736
5.69897 14.3800 0.101667 -0.51053 17.80958
5.69897 14.3800 0.101667 -0.49277 17.79672
5.69897 14.3800 0.101667 -0.47501 17.78094
5.69897 14.3800 0.101667 -0.45725 17.75978
5.69897 14.3800 0.101667 -0.43949 17.73582
5.69897 14.3800 0.101667 -0.42173 17.70783
5.69897 14.3800 0.101667 -0.40397 17.67648
5.69897 14.3800 0.101667 -0.38621 17.64114
5.69897 14.3800 0.101667 -0.36845 17.60299
5.69897 14.3800 0.101667 -0.35069 17.56055
5.69897 14.3800 0.101667 -0.33293 17.51491
5.69897 14.3800 0.101667 -0.31517 17.46583
5.69897 14.3800 0.101667 -0.29741 17.41155
5.69897 14.3800 0.101667 -0.27965 17.35642
5.69897 14.3800 0.101667 -0.26189 17.29441
5.69897 14.3800 0.101667 -0.24413 17.23140
5.69897 14.3800 0.101667 -0.22637 17.16329
5.69897 14.3800 0.101667 -0.20861 17.08955
5.69897 14.3800 0.101667 -0.19085 17.01615
5.69897 14.3800 0.101667 -0.17309 16.93230
5.69897 14.3800 0.101667 -0.15533 16.85175
5.69897 14.3800 0.101667 -0.13757 16.76226
5.69897 14.3800 0.101667 -0.11980 16.66843
5.69897 14.3800 0.101667 -0.10204 16.57460
5.69897 14.3800 0.101667 -0.08428 16.46564
5.69897 14.3800 0.101667 -0.06652 16.36765
5.69897 14.3800 0.101667 -0.04876 16.25366
5.69897 14.3800 0.101667 -0.03100 16.13920
5.69897 14.3800 0.101667 -0.01324 16.02202
5.69897 14.3800 0.101667 0.00452 15.88614
5.69897 14.3800 0.101667 0.02228 15.76878
5.69897 14.3800 0.101667 0.04004 15.62624
5.69897 14.3800 0.101667 0.05780 15.49116
5.69897 14.3800 0.101667 0.07556 15.34686
5.69897 14.3800 0.101667 0.09332 15.18511
5.69897 14.3800 0.101667 0.11108 15.04342
5.69897 14.3800 0.101667 0.12884 14.86763
5.69897 14.3800 0.101667 0.14660 14.71266
5.69897 14.3800 0.101667 0.16436 14.53677
5.69897 14.3800 0.101667 0.18212 14.34967
5.69897 14.3800 0.101667 0.19988 14.17988
5.69897 14.3800 0.101667 0.21764 13.96620
5.69897 14.3800 0.101667 0.23540 13.79358
5.69897 14.3800 0.101667 0.25316 13.58207
5.69897 14.3800 0.101667 0.27092 13.37273
5.69897 14.3800 0.101667 0.28869 13.17171
5.69897 14.3800 0.101667 0.30645 12.91820
5.69897 14.3800 0.101667 0.32421 12.73288
5.69897 14.3800 0.101667 0.34197 12.48559
5.69897 14.3800 0.101667 0.35973 12.26213
5.69897 14.3800 0.101667 0.37749 12.03143
5.69897 14.3800 0.101667 0.39525 11.75290
5.69897 14.3800 0.101667 0.41301 11.55572
5.69897 14.3800 0.101667 0.43077 11.28210
5.69897 14.3800 0.101667 0.44853 11.05708
5.69897 14.3800 0.101667 0.46629 10.80585
5.69897 14.3800 0.101667 0.48405 10.52982
5.69897 14.3800 0.101667 0.50181 10.31452
5.69897 14.3800 0.101667 0.51957 10.02457
5.69897 14.3800 0.101667 0.53733 9.80174
5.69897 14.3800 0.101667 0.55509 9.53089
5.69897 14.3800 0.101667 0.57285 9.25385
5.69897 14.3800 0.101667 0.59061 9.01250
5.69897 14.3800 0.101667 0.60837 8.68947
5.69897 14.3800 0.101667 0.62613 8.45787
5.69897 14.3800 0.101667 0.64389 8.14495
5.69897 14.3800 0.101667 0.66165 7.84905
5.69897 14.3800 0.101667 0.67941 6.56185
5.69897 14.3800 0.101667 0.69718 4.60402
5.69897 14.3800 0.101667 0.71494 2.56225
5.69897 14.3800 0.101667 0.73270 0.43301
5.69897 14.3800 0.101667 0.75046 -1.78732
5.69897 14.3800 0.101667 0.76822 -4.10257
5.69897 14.3800 0.101667 0.78598 -6.51668
5.69897 14.3800 0.101667 0.80374 -9.03378
5.69897 14.3800 0.101667 0.82150 -11.65819
5.69897 14.3800 0.101667 0.83926 -14.39436
5.69897 14.3800 0.101667 0.85702 -17.24698
5.69897 14.3800 0.101667 0.87478 -20.22089
5.69897 14.3800 0.101667 0.89254 -23.32117
5.69897 14.3800 0.101667 0.91030 -26.55309
5.69897 14.3800 0.101667 0.92806 -29.92213
5.69897 14.3800 0.101667 0.94582 -33.43404
5.69897 14.3800 0.101667 0.96358 -37.09476
5.69897 14.3800 0.101667 0.98134 -40.91051
5.69897 14.3800 0.101667 0.99910 -44.88778
5.69897 14.3800 0.101667 1.01686 -49.03329
5.69897 14.3800 0.101667 1.03462 -53.35406
5.69897 14.3800 0.101667 1.05238 -57.85741
5.69897 14.3800 0.101667 1.07014 -62.55100
5.69897 14.3800 0.101667 1.08790 -67.44270
5.69897 14.3800 0.101667 1.10567 -72.54082
5.69897 14.3800 0.101667 1.12343 -77.85400
5.69897 14.3800 0.101667 1.14119 -83.39116
5.69897 14.3800 0.101667 1.15895 -89.16168
5.69897 14.3800 0.101667 1.17671 -95.17530
5.69897 14.3800 0.101667 1.19447 -101.44221
5.69897 14.3800 0.101667 1.21223 -107.97290
5.69897 14.3800 0.101667 1.22999 -114.77842
5.69897 14.3800 0.101667 1.24775 -121.87029
5.69897 14.3800 0.101667 1.26551 -129.26037
5.69897 14.3800 0.101667 1.28327 -136.96116
5.69897 14.3800 0.101667 1.30103 -144.98567
5.69897 14.3800 0.237234 -1.52288 18.13685
5.69897 14.3800 0.237234 -1.50512 18.15776
5.69897 14.3800 0.237234 -1.48736 18.18337
5.69897 14.3800 0.237234 -1.46960 18.21206
5.69897 14.3800 0.237234 -1.45184 18.23255
5.69897 14.3800 0.237234 -1.43408 18.25299
5.69897 14.3800 0.237234 -1.41632 18.27816
5.69897 14.3800 0.237234 -1.39856 18.30156
5.69897 14.3800 0.237234 -1.38080 18.32331
5.69897 14.3800 0.237234 -1.36303 18.34606
5.69897 14.3800 0.237234 -1.34527 18.36866
5.69897 14.3800 0.237234 -1.32751 18.38954
5.69897 14.3800 0.237234 -1.30975 18.40948
5.69897 14.3800 0.237234 -1.29199 18.42826
5.69897 14.3800 0.237234 -1.27423 18.44798
5.69897 14.3800 0.237234 -1.25647 18.46786
5.69897 14.3800 0.237234 -1.23871 18.48434
5.69897 14.3800 0.237234 -1.22095 18.50106
5.69897 14.3800 0.237234 -1.20319 18.51819
5.69897 14.3800 0.237234 -1.18543 18.53418
5.69897 14.3800 0.237234 -1.16767 18.54962
5.69897 14.3800 0.237234 -1.14991 18.56258
5.69897 14.3800 0.237234 -1.13215 18.57494
5.69897 14.3800 0.237234 -1.11439 18.58576
5.69897 14.3800 0.237234 -1.09663 18.59507
5.69897 14.3800 0.237234 -1.07887 18.60331
5.69897 14.3800 0.237234 -1.06111 18.60967
5.69897 14.3800 0.237234 -1.04335 18.61518
5.69897 14.3800 0.237234 -1.02559 18.61757
5.69897 14.3800 0.237234 -1.00783 18.61803
5.69897 14.3800 0.237234 -0.99007 18.61639
5.69897 14.3800 0.237234 -0.97231 18.61144
5.69897 14.3800 0.237234 -0.95454 18.60488
5.69897 14.3800 0.237234 -0.93678 18.59363
5.69897 14.3800 0.237234 -0.91902 18.57939
5.69897 14.3800 0.237234 -0.90126 18.56079
5.69897 14.3800 0.237234 -0.88350 18.53675
5.69897 14.3800 0.237234 -0.86574 18.50850
5.69897 14.3800 0.237234 -0.84798 18.47172
5.69897 14.3800 0.237234 -0.83022 18.42820
5.69897 14.3800 0.237234 -0.81246 18.37417
5.69897 14.3800 0.237234 -0.79470 18.30719
5.69897 14.3800 0.237234 -0.77694 18.22264
5.69897 14.3800 0.237234 -0.75918 18.10850
5.69897 14.3800 0.237234 -0.74142 17.93892
5.69897 14.3800 0.237234 -0.72366 17.62372
5.69897 14.3800 0.237234 -0.70590 16.86159
5.69897 14.3800 0.237234 -0.68814 17.11825
5.69897 14.3800 0.237234 -0.67038 17.60561
5.69897 14.3800 0.237234 -0.65262 17.79098
5.69897 14.3800 0.237234 -0.63486 17.87865
5.69897 14.3800 0.237234 -0.61710 17.93883
5.69897 14.3800 0.237234 -0.59934 17.98094
5.69897 14.3800 0.237234 -0.58158 18.00843
5.69897 14.3800 0.237234 -0.56382 18.03118
5.69897 14.3800 0.237234 -0.54605 18.04435
5.69897 14.3800 0.237234 -0.52829 18.05407
5.69897 14.3800 0.237234 -0.51053 18.05901
5.69897 14.3800 0.237234 -0.49277 18.05888
5.69897 14.3800 0.237234 -0.47501 18.05653
5.69897 14.3800 0.237234 -0.45725 18.04831
5.69897 14.3800 0.237234 -0.43949 18.03788
5.69897 14.3800 0.237234 -0.42173 18.02339
5.69897 14.3800 0.237234 -0.40397 18.00547
5.69897 14.3800 0.237234 -0.38621 17.98470
5.69897 14.3800 0.237234 -0.36845 17.95979
5.69897 14.3800 0.237234 -0.35069 17.93201
5.69897 14.3800 0.237234 -0.33293 17.90067
5.69897 14.3800 0.237234 -0.31517 17.86616
5.69897 14.3800 0.237234 -0.29741 17.82764
5.69897 14.3800 0.237234 -0.27965 17.78678
5.69897 14.3800 0.237234 -0.26189 17.74127
5.69897 14.3800 0.237234 -0.24413 17.69342
5.69897 14.3800 0.237234 -0.22637 17.64161
5.69897 14.3800 0.237234 -0.20861 17.58519
5.69897 14.3800 0.237234 -0.19085 17.52757
5.69897 14.3800 0.237234 -0.17309 17.46264
5.69897 14.3800 0.237234 -0.15533 17.39823
5.69897 14.3800 0.237234 -0.13757 17.32737
5.69897 14.3800 0.237234 -0.11980 17.25232
5.69897 14.3800 0.237234 -0.10204 17.17626
5.69897 14.3800 0.237234 -0.08428 17.08931
5.69897 14.3800 0.237234 -0.06652 17.00818
5.69897 14.3800 0.237234 -0.04876 16.91569
5.69897 14.3800 0.237234 -0.03100 16.82138
5.69897 14.3800 0.237234 -0.01324 16.72449
5.69897 14.3800 0.237234 0.00452 16.61355
5.69897 14.3800 0.237234 0.02228 16.51413
5.69897 14.3800 0.237234 0.04004 16.39650
5.69897 14.3800 0.237234 0.05780 16.28243
5.69897 14.3800 0.237234 0.07556 16.16137
5.69897 14.3800 0.237234 0.09332 16.02627
5.69897 14.3800 0.237234 0.11108 15.90459
5.69897 14.3800 0.237234 0.12884 15.75740
5.69897 14.3800 0.237234 0.14660 15.62342
5.69897 14.3800 0.237234 0.16436 15.47386
5.69897 14.3800 0.237234 0.18212 15.31376
5.69897 14.3800 0.237234 0.19988 15.16594
5.69897 14.3800 0.237234 0.21764 14.98370
5.69897 14.3800 0.237234 0.23540 14.83019
